Method,img_label,linear_vel,angular_vel,pre_inflation,goal_dist,delta_goal_dist,moved_toward_goal,next_linear_vel:,next_angular_vel,max_vel_x,max_vel_theta,nr_pairs_,nr_steps_,linear_stddev,angular_stddev,lambda,final_inflation
HB,37,0.5722998903504395,-0.3347750277662098,0.47491252422332764,9.06796087490606,0.36104864189369223,1,0.8976788437928486,-0.39986533976119115,1.970659123008961,1.2625360065756537,800,34,0.14839062094688416,0.08678746968507767,0.5392076969146729,0.3999382654068186
HB,38,0.8976788437928486,-0.39986533976119115,0.6054995059967041,8.560902283547778,0.5070585913582821,1,1.028391253302708,-0.15952743268569114,1.968636548636334,1.0724187032818744,600,28,0.1417100727558136,0.13519126176834106,0.46752381324768066,0.399956785784773
HB,39,1.028391253302708,-0.15952743268569114,0.12331794202327728,7.999834163562023,0.5610681199857543,1,1.1694691181920969,-0.03880786477918491,2.0,0.8829054450204733,600,22,0.13612371683120728,0.10507764667272568,0.2080674171447754,0.3423899751927737
HB,40,1.1694691181920969,-0.03880786477918491,0.2179843932390213,7.327377327354414,0.6724568362076093,1,1.2600467155600656,-0.142953305077973,2.0,0.714015125290305,600,23,0.14579424262046814,0.10255364328622818,1.1538631916046143,0.3596729826349416
HB,41,1.2600467155600656,-0.142953305077973,0.5869773626327515,6.7256170412350516,0.6017602861193625,1,1.1175044143157582,-0.021297369253957858,2.0,0.6528088219769101,600,28,0.14649203419685364,0.132245734333992,0.39252686500549316,0.369529147346107
HB,42,1.1175044143157582,-0.021297369253957858,0.616068959236145,6.1149242114416005,0.6106928297934511,1,1.2518789076178394,-0.09738860247379454,2.0,0.5562146123367013,600,26,0.15596096217632294,0.13502593338489532,0.26625657081604004,0.3385473743870869
HB,43,1.2518789076178394,-0.09738860247379454,0.6144609451293945,5.288181141044332,0.8267430703972689,1,2.0105864220934966,-0.19562848885533488,2.0,0.3893502286356909,500,12,0.15200625360012054,0.1616591364145279,0.0077669620513916016,0.3
HB,44,2.0105864220934966,-0.19562848885533488,0.6172035932540894,4.229088675188566,1.0590924658557652,1,2.0072467004592394,-0.21347809667030704,2.0,0.27254516004498364,500,17,0.15645188093185425,0.14728045463562012,0.5277655124664307,0.3
RL,45,1.9998218593142705,0.0822414260395134,0.6229467391967773,13.84031702878502,0.727518906958009,1,1.2468764352124797,0.025234760181124333,2.115154266357422,2.98909330368042,405,19,0.1538214236497879,0.13311649858951569,0.5659122467041016,0.6229467391967773
RL,46,1.2468764352124797,0.025234760181124333,0.6054478287696838,13.156332039117967,0.6839849896670529,1,1.2154318683945062,-0.008707738099845009,1.9718456268310547,3.08099365234375,420,20,0.14626207947731018,0.1366143524646759,0.26580190658569336,0.6054478287696838
RL,47,1.2154318683945062,-0.008707738099845009,0.5003169775009155,12.546540706392161,0.6097913327258055,1,1.0268229768044235,-0.48132727435767936,2.241549491882324,3.483508586883545,429,20,0.14832067489624023,0.14749965071678162,1.2894833087921143,0.5003169775009155
RL,48,1.0268229768044235,-0.48132727435767936,0.565051794052124,12.022619561109034,0.5239211452831274,1,0.962914299342666,-0.491868895456217,1.7621537446975708,3.142430305480957,381,16,0.14805065095424652,0.15531542897224426,0.5238263607025146,0.565051794052124
RL,49,0.962914299342666,-0.491868895456217,0.4894915223121643,11.621407149792613,0.40121241131642016,1,0.8367493942709543,-0.2572401820944703,1.7295165061950684,3.1615684032440186,377,18,0.14700110256671906,0.15360811352729797,0.26842713356018066,0.4894915223121643
RL,50,0.8367493942709543,-0.2572401820944703,0.5745496153831482,11.248517307329134,0.3728898424634792,1,0.7525227455052521,0.12318063785007026,1.9990947246551514,2.9368298053741455,807,19,0.14788278937339783,0.15874168276786804,0.4402642250061035,0.5745496153831482
RL,51,0.7525227455052521,0.12318063785007026,0.5805699229240417,10.9408911910151,0.3076261163140348,1,0.7236679620914863,0.0037663907813254047,1.977643609046936,2.986459493637085,637,18,0.049174778163433075,0.14873553812503815,1.1460363864898682,0.5805699229240417
RL,52,0.7236679620914863,0.0037663907813254047,0.5973622798919678,10.678418069723987,0.2624731212911122,1,0.4975344889587226,0.19147198468130733,2.1045870780944824,2.8679847717285156,412,20,0.15384474396705627,0.1457560509443283,3.4822139739990234,0.5973622798919678
RL,53,0.4975344889587226,0.19147198468130733,0.5543239116668701,10.517711476705886,0.16070659301810153,1,0.2973453770199476,0.5352302385444401,1.8981099128723145,3.083430290222168,360,27,0.1483606994152069,0.16240321099758148,2.635504961013794,0.5543239116668701
RL,54,0.2973453770199476,0.5352302385444401,0.5886431932449341,10.33947886431361,0.17823261239227506,1,0.3742908467849266,1.188299568689362,2.0849876403808594,3.430628776550293,423,35,0.15809065103530884,0.1401006579399109,3.246929883956909,0.5886431932449341
RL,55,0.3742908467849266,1.188299568689362,0.554914116859436,10.128322193029776,0.21115667128383464,1,0.5340083266739413,0.00990622338449934,2.019062042236328,0.5513921976089478,586,21,0.16116419434547424,0.15872028470039368,3.194695472717285,0.554914116859436
RL,56,0.5340083266739413,0.00990622338449934,0.6269766688346863,9.516470589336297,0.6118516036934789,1,1.3665362755812438,-0.003156473229634367,2.0629332065582275,0.38334476947784424,448,19,0.15418517589569092,0.15396949648857117,0.2886197566986084,0.6269766688346863
RL,57,1.3665362755812438,-0.003156473229634367,0.5738243460655212,8.932169487827599,0.5843011015086983,1,1.1222251373714838,-0.09125588295673959,2.0341758728027344,2.6684796810150146,377,18,0.14658761024475098,0.129836767911911,2.4341201782226562,0.5738243460655212
RL,58,1.1222251373714838,-0.09125588295673959,0.6502901315689087,8.312025589785971,0.6201438980416274,1,1.1478226379084289,-0.47645792768339607,2.076279640197754,3.3178348541259766,438,18,0.14822162687778473,0.11627556383609772,0.854973554611206,0.6502901315689087
RL,59,1.1478226379084289,-0.47645792768339607,0.3621944189071655,7.8101343442272935,0.5018912455586779,1,0.958424465706969,-0.1976449719450208,1.658695936203003,3.2316901683807373,411,19,0.15239129960536957,0.12618163228034973,0.2745702266693115,0.3621944189071655
RL,60,0.958424465706969,-0.1976449719450208,0.5094155073165894,7.326604857550704,0.48352948667658957,1,0.9072483217963679,-0.06117328910230228,1.6636435985565186,3.1212711334228516,403,20,0.15443943440914154,0.1496867835521698,0.9258692264556885,0.5094155073165894
RL,61,0.9072483217963679,-0.06117328910230228,0.5919693112373352,6.722433395558901,0.604171461991803,1,1.1880563680443852,0.005083619148648862,2.073302745819092,2.7695019245147705,350,19,0.15092933177947998,0.15144816040992737,0.5933220386505127,0.5919693112373352
RL,62,1.1880563680443852,0.005083619148648862,0.6296721696853638,6.1542229851815655,0.5682104103773353,1,1.0374105221681689,-0.02937544214638122,1.8929328918457031,3.171142816543579,407,21,0.16343188285827637,0.16193696856498718,0.8898268938064575,0.6296721696853638
RL,63,1.0374105221681689,-0.02937544214638122,0.5241546630859375,5.56984690098973,0.5843760841918355,1,1.1119054390253185,0.03804072082890382,1.8475433588027954,3.0192651748657227,378,19,0.14022153615951538,0.15442940592765808,0.264432430267334,0.5241546630859375
RL,64,1.1119054390253185,0.03804072082890382,0.6022406220436096,4.694683688318456,0.8751632126712741,1,2.010265308293472,-0.14337449915238282,2.186734914779663,3.0678653717041016,367,19,0.14910458028316498,0.15008164942264557,0.49991345405578613,0.6022406220436096
HB,65,1.737014711670916,0.0005439370789133165,0.6263819336891174,13.958566975053722,0.6607339119562585,1,1.1882849827343747,0.004925016488433396,2.0,0.25823313532829206,600,21,0.13632337749004364,0.14503440260887146,0.6529240608215332,0.65292406
HB,66,1.1882849827343747,0.004925016488433396,0.6242356896400452,13.339702821175797,0.6188641538779258,1,1.1701802771555398,0.0016748275091197668,1.9727647812338918,0.3126910838675885,600,28,0.14846982061862946,0.1459604650735855,0.30983424186706543,0.34369774809768
HB,67,1.1701802771555398,0.0016748275091197668,0.6119499206542969,12.799696448782317,0.5400063723934796,1,0.8683841298042653,0.001173250273963105,1.796565864379975,0.4715301067856058,800,35,0.15489444136619568,0.13688942790031433,0.7981469631195068,0.36058842366837596
HB,68,0.8683841298042653,0.001173250273963105,0.5780304670333862,12.403721583516058,0.39597486526625936,1,0.6231393910740338,-0.1378531195655882,1.873910671467167,0.6808153183203105,800,33,0.15251107513904572,0.14335373044013977,0.745262861251831,0.37241189656786317
HB,69,0.6231393910740338,-0.1378531195655882,0.6209878921508789,12.057954787726054,0.3457667957900039,1,0.6041035314532324,-0.06611586081944598,1.5922899344075796,0.8349293102429244,800,30,0.15439940989017487,0.14641012251377106,0.9915601015090942,0.3806883275975042
HB,70,0.6041035314532324,-0.06611586081944598,0.6376134157180786,11.755543101507003,0.3024116862190507,1,0.5121356732527109,-0.02980131819049473,1.3465478515042721,0.9795962478689626,800,35,0.14988228678703308,0.14443737268447876,1.2316762208938599,0.3864818293182529
HB,71,0.5121356732527109,-0.02980131819049473,0.6243613362312317,11.532617488934642,0.22292561257236088,1,0.3686112024856064,-0.02690532057587097,1.2646907293352487,1.1382728925140313,800,32,0.11786417663097382,0.14633385837078094,0.698110818862915,0.39053728052277703
HB,72,0.3686112024856064,-0.02690532057587097,0.5593514442443848,11.342550793409432,0.1900666955252106,1,0.3432874862639384,-0.3849563027940342,0.9552563022922014,1.2594760302542465,800,31,0.15032052993774414,0.14153899252414703,4.773543357849121,0.3933760963659439
HB,73,0.3622719698138535,-0.5151189290815313,0.11169540882110596,11.056096519322525,0.14142201596778214,1,0.3338017584643424,-0.008395327070160592,0.8012916566721645,1.4021863998909647,815,37,0.08747043460607529,0.149784117937088,0.22188901901245117,0.3433209929230478
HB,74,0.3357560718645622,-0.06910723435873227,0.5747206211090088,10.819836604047408,0.1046446521128992,1,0.32875612484618577,0.09420584856136477,0.7443092591943288,1.4815571858860208,800,37,0.053396932780742645,0.1482393443584442,0.2323002815246582,0.2704742242840634
HB,75,0.23962308983443617,0.4667260597930488,0.45156335830688477,10.63921848577193,0.08887181437147262,1,0.18011569736275956,0.5050055291561734,0.6422554076474084,1.6068222769854041,800,35,0.12130700796842575,0.149015873670578,2.1043789386749268,0.3365323698991911
HB,76,0.17203771449880084,0.001441600522697025,0.5824323296546936,10.462557764363428,0.08394873283579152,1,0.13373145176807405,0.32684009864290897,0.7766054003604933,1.705679774955954,800,30,0.14691613614559174,0.16446112096309662,0.9703636169433594,0.3689008612506036
HB,77,0.16170237387868322,0.775707588939603,0.5289161205291748,10.273209862425288,0.11437049752077932,1,0.31313876348004077,0.67067556021761,0.640483285087616,1.6852509196503695,800,34,0.1604200154542923,0.1374569982290268,2.9125149250030518,0.38476142201279573
HB,78,0.31313876348004077,0.67067556021761,0.5760983228683472,10.104777030012333,0.1684328324129556,1,0.37122296621315115,0.02030453205467937,0.6624319875655931,1.6311864572699983,800,35,0.15440087020397186,0.1601322889328003,0.3162841796875,0.36421824931520697
HB,79,0.37122296621315115,0.02030453205467937,0.6123239994049072,9.94059315036731,0.164183879645023,1,0.39564657273850573,-0.004965836195131593,0.6675561029767283,1.5835718909935963,800,34,0.14858722686767578,0.1503157913684845,0.8894816637039185,0.37495277452064485
HB,80,0.39564657273850573,-0.004965836195131593,0.5977744460105896,9.782625759056563,0.15796739131074666,1,0.35125274484711405,-0.21387737805757306,0.7344607187394985,1.5679992257566717,800,38,0.1324191391468048,0.15323063731193542,4.200924873352051,0.3824669421644514
HB,81,0.35125274484711405,-0.21387737805757306,0.49232783913612366,9.613891059574545,0.1687346994820178,1,0.3622629828676921,-0.01317330028520523,0.9425019630428436,1.5526942648825934,800,34,0.11971873790025711,0.1415216028690338,4.738921165466309,0.38772685951511593
HB,82,0.3622629828676921,-0.01317330028520523,0.09192103147506714,9.399425731873464,0.21446532770108107,1,0.4598886524582802,-0.11567522123876628,1.7369532629985174,1.502930524434503,800,32,0.10810952633619308,0.026519663631916046,1.6758710145950317,0.3914088016605811
HB,83,0.4598886524582802,-0.11567522123876628,0.36912432312965393,9.073587269061546,0.32583846281191775,1,0.8252321374875846,-0.43534662851529765,1.9496856614864293,1.3219585121091182,800,37,0.15210922062397003,0.06154780089855194,1.73891282081604,0.39398616116240676
