rank,world_id,avg_time,avg_nav_metric,avg_optimal_time,avg_path_length,success_rate,num_episodes,success_count,success_percentage,timeout_count,timeout_percentage,flip_count,flip_percentage
104,222,31.235199999999974,0.1726185920997165,5.5327292311447875,11.065458462289575,80.0,20,16.0,80.0,4.0,20.0,,
105,206,30.978800000000035,0.20521172627835868,5.747431365964786,11.494862731929572,95.0,20,19.0,95.0,,,1.0,5.0
106,281,30.85439999999998,0.2018435572924718,6.251270475448228,12.502540950896456,90.0,20,18.0,90.0,1.0,5.0,1.0,5.0
107,201,30.443199999999973,0.2454717065843548,6.748828036671204,13.497656073342409,85.0,20,17.0,85.0,1.0,5.0,2.0,10.0
108,287,30.417300000000022,0.20471968872808702,6.4771288477686415,12.954257695537283,80.0,20,16.0,80.0,1.0,5.0,3.0,15.0
109,211,29.918199999999995,0.17068755052374918,5.2440757777278915,10.488151555455783,75.0,20,15.0,75.0,4.0,20.0,1.0,5.0
110,298,28.701600000000013,0.19141833975911182,5.7362023465473,11.4724046930946,80.0,20,16.0,80.0,4.0,20.0,,
111,123,28.600099999999987,0.2019350495491242,5.680943173847867,11.361886347695734,90.0,20,18.0,90.0,,,2.0,10.0
112,243,27.939899999999984,0.21987965904951792,6.8676534716365385,13.735306943273077,85.0,20,17.0,85.0,2.0,10.0,1.0,5.0
113,253,27.747000000000025,0.2269361289159773,5.299060549623293,10.598121099246587,100.0,20,20.0,100.0,,,,
114,267,27.325300000000034,0.188523894303529,5.4625988939761045,10.925197787952209,80.0,20,16.0,80.0,3.0,15.0,1.0,5.0
115,171,27.2494,0.21103337607124692,5.664814019292196,11.329628038584392,90.0,20,18.0,90.0,1.0,5.0,1.0,5.0
116,35,27.13870000000002,0.25293423655789676,5.526368192187963,11.052736384375926,90.0,20,18.0,90.0,2.0,10.0,,
117,193,26.88529999999999,0.21595662809702101,5.42976926495277,10.85953852990554,100.0,20,20.0,100.0,,,,
118,215,26.863700000000012,0.21962645797180308,5.5549290263279865,11.109858052655973,100.0,20,20.0,100.0,,,,
119,91,26.84189999999999,0.2561596465083002,5.724877156669886,11.449754313339772,95.0,20,19.0,95.0,1.0,5.0,,
120,188,26.73479999999997,0.2046381308006337,5.576075078062962,11.152150156125924,95.0,20,19.0,95.0,1.0,5.0,,
121,239,26.450899999999997,0.26981168211611617,6.736938207280015,13.47387641456003,100.0,20,20.0,100.0,,,,
122,126,26.134699999999953,0.21521317413995159,5.517015950475825,11.03403190095165,70.0,20,14.0,70.0,3.0,15.0,3.0,15.0
123,192,25.347499999999958,0.2189400484071476,5.5560604820501975,11.112120964100395,95.0,20,19.0,95.0,1.0,5.0,,
124,294,25.310099999999984,0.2270999303714729,5.86570466209071,11.73140932418142,95.0,20,19.0,95.0,,,1.0,5.0
